1.842105263157894635e-01,1.634241245136186793e-01,5.103932009010854198e-01,1.428571428571428492e-01,1.609195402298850830e-01
1.176470588235294101e-01,7.017543859649122417e-02,5.237358101135191069e-01,2.000000000000000111e-01,1.481481481481481677e-01
3.333333333333333287e-02,1.100000000000000006e-01,4.616666666666667251e-01,4.347826086956521618e-02,3.773584905660377908e-02
3.333333333333333148e-01,1.118881118881118880e-01,6.107226107226106926e-01,4.074074074074073848e-01,3.666666666666666408e-01
2.758620689655172376e-01,1.732283464566929110e-01,5.513168612544121494e-01,2.666666666666666630e-01,2.711864406779661008e-01
3.846153846153846367e-01,1.351351351351351426e-01,6.247401247401247470e-01,4.000000000000000222e-01,3.921568627450980338e-01
2.500000000000000000e-01,1.095890410958904049e-01,5.702054794520547976e-01,5.555555555555555802e-01,3.448275862068965747e-01
6.944444444444444198e-01,4.153846153846154077e-01,6.395299145299144783e-01,4.807692307692307820e-01,5.681818181818181213e-01
6.451612903225806273e-01,2.280701754385964786e-01,7.085455574419919911e-01,6.060606060606060774e-01,6.250000000000000000e-01
4.000000000000000083e-02,3.921568627450980338e-02,5.003921568627450744e-01,1.111111111111111049e-01,5.882352941176470507e-02
5.454545454545454142e-01,1.988950276243093840e-01,6.732797589151180429e-01,2.500000000000000000e-01,3.428571428571428603e-01
2.105263157894736725e-01,1.132075471698113234e-01,5.486593843098311885e-01,1.818181818181818232e-01,1.951219512195122019e-01
1.090909090909090856e-01,4.137931034482758563e-02,5.338557993730407292e-01,2.000000000000000111e-01,1.411764705882353199e-01
2.040816326530612290e-01,7.945736434108527368e-02,5.623121341559880193e-01,1.960784313725490169e-01,2.000000000000000111e-01
1.395348837209302306e-01,2.882483370288248248e-02,5.553550250090238949e-01,3.157894736842105088e-01,1.935483870967741604e-01
2.396694214876033124e-01,8.244994110718492641e-02,5.786097401902092763e-01,2.929292929292929282e-01,2.636363636363636687e-01
2.592592592592592449e-01,8.609271523178807506e-02,5.865832720137356127e-01,3.010752688172043112e-01,2.786069651741293618e-01
2.978723404255319007e-01,8.774583963691376387e-02,6.050632503943090823e-01,3.255813953488372325e-01,3.111111111111111160e-01
7.437500000000000222e-01,1.811811811811811779e-01,7.812844094094093528e-01,3.966666666666666674e-01,5.173913043478260976e-01
5.985915492957746276e-01,1.126126126126126142e-01,7.429894683415809720e-01,4.594594594594594850e-01,5.198776758409786591e-01
5.806451612903226200e-01,7.207207207207207145e-02,7.542865446091251425e-01,5.625000000000000000e-01,5.714285714285715079e-01
3.867924528301887044e-01,1.577060931899641472e-01,6.145431798201124174e-01,4.823529411764705954e-01,4.293193717277486443e-01
5.437665782493368294e-01,1.824596774193548432e-01,6.806534504149909237e-01,5.310880829015544036e-01,5.373525557011796794e-01
4.424242424242424421e-01,1.428571428571428492e-01,6.497835497835497964e-01,5.407407407407407440e-01,4.866666666666667473e-01
